,id,source_url,title,overview,outcome,status,platform,asset_urls,asset_text_extracts,created_at
10,1842,https://twitter.com/RenaldoGouws/status/1443684577961185289?s=09,,,,Final Edit,Twitter,,,2021-10-02 21:16:23
11,1844,https://twitter.com/CollenGwebu/status/1442613280967643139?s=19,Twitter: Four men murdered for taxi-related matters,The complaint is about a tweet linked to taxi violence that was painted as political party violence.,"
The dis/mis information about political positions and events in Mabopane could lead to public unrest and contribute to existing tensions. The post must be labelled as disinformation and reported to Twitter for removal because it's incredibly graphic and disrespects the deceased person, the rights and needs of their relatives and prolongs their pain and suffering.",Resolved,Twitter,,,2021-10-03 10:59:40
12,1851,https://twitter.com/Sakhumuzi__/status/1445384529942925315/,,,,Final Edit,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/kidsoz4r__0.jpeg,"THE
ANC
CALLED
YOU
RACISTS
THE
DA
CALLS
YOU
HEROES
KEEP
YOUR
SITY
FAN | ",2021-10-05 15:44:58
13,1853,https://twitter.com/TonySto74753556/status/1445968273741336579?t=60736UhY01ZLVq9OLcZ2hg&s=19,,,,Final Edit,Twitter,,,2021-10-07 10:01:57
14,1855,Www.IEC.co.za,,,,Not Relevant,Other,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/vrfyh0zp__0.jpeg,"12:03
3ul
Vo))
4G
S
LTE
Sign in to Standard Bank
https://guest.standardbank.co.za
Standard Bank
Customer WiFi
Account Created
Use the following information to sign on to the
network.
Username: ssylvester
Password: 5957
First name: Selome
Last name: Sylvester
Email: selomemmoloki@gmail.com
Phone number: 0799999820
Sign On
III
O
< | ",2021-10-08 10:47:34
15,1858,www.steenbokpan.co.za,,,,Needs More Information,Other,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/CMS4OLCQ__0.jpeg,"IVERNMENTA
ETIONS 2021
DE
ANC
2021 | ",2021-10-08 17:58:23
16,1861,https//:www.elections.com,,,,Not Relevant,Other,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2NWHFPXM__0.png,"11:25
81160061006393
Monday, Sep 20 . 15:45
The holder of ID number
990811
*08* is registered on
19/09/2021 in VD: 32862618
at Voting Station: RADIANCE
OF GLORIOUS LIVING GOD
CHRISTIAN CHURCH. More info:
www.elections.org.za
C
Tap to load preview
Sep 20, 15:45 via TelkomSA
+
Text message
1
from MTN-SA
< | ",2021-10-09 09:28:39
17,1872,https://pbs.twimg.com/media/FBmmI5WXEAcaRUE?format=jpg&name=small,,,,DCC Assessment,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/48VXVQPY__0.jpeg, | ,2021-10-14 06:01:06
18,1879,https://twitter.com/ngwana_mhani/status/1449111919080652800?s=19,,,,Final Edit,Twitter,,,2021-10-17 18:17:52
19,1880,https://twitter.com/TonySto74753556/status/1449772561366241281?t=nOqWzHd93-FE5w0HD0m7lQ&s=19,,,,Final Edit,Twitter,,,2021-10-17 18:29:00
20,1881,https://twitter.com/HermanMashaba/status/1448898921066074115,,,,Final Edit,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/rwoz6rlx__0.jpeg,"Herman Mashaba a
@HermanMashaba
As @Action4SA we commit, given a mandate
to govern Municipalities we are contesting to
pass By-law to:
1. You have to have SA ID to operate any
business
2. Must be registered with SARS
3. Must employ South Africans
4. Will have specialized unit within Metro
Police to execute | ",2021-10-18 09:26:48
21,1882,https://twitter.com/HermanMashaba/status/1448870958274600980,,,,DCC Assessment,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KPP14RHC__0.png,"Herman Mashaba
@HermanMashaba
I am sorry fellow South Africans. When I see scenes
like these, right within our borders, I don't just get
concerned, I get langry.
Our country's Sovereignty is compromised.
We have allowed ourselves to be silenced for far too
long.
Let's hope it is not too late!
M
theoWaM
theoi
@Motheo2009 - Oct 14
Replying to @HermanMashaba
People must wakeup and smell the coffee
SOUTH AFRICA, WE HAVE SNAKES INSIDE THE HOUSE
6:38 AM - Oct 15, 2021 - Twitter for Android
231 Retweets 52 Quote Tweets 924 Likes
L2 | ",2021-10-18 14:03:37
