id,source_url,title,overview,outcome,status,platform,asset_urls,asset_text_extracts,created_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,https://tennesseestar.com/2020/09/21/mayor-john-cooper-claims-nashville-bar-and-restaurant-owners-have-been-playing-with-matches-in-a-barn-complaining-about-taking-their-matches-away/?fbclid=IwAR0YDsD-EOftvZS-rB0MD_33KvINt747pGTZcRpNATZUBz876m78Jb_3WYQ,American post questions Nashville Mayor's closure of bars,The post submitted for review asks whether or not Nashville Mayor John Cooper deliberately over-stated COVID-19 case count to motivate closure of bars.,The Mayor has not over-stated the COVID-19 case count iro Nashville bars. The claim has been fact-checked here: https://www.tennessean.com/story/news/2020/09/18/fact-check-nashville-mayor-cooper-coronavirus-stats/3491786001/. The post in question appears to be on a media site that seems to be deliberately skewing news and information about COVID,Resolved,Other Website,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/s2whlz5w__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/s2whlz5w__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/s2whlz5w__0.png,The Tennessee Star 5h 6 Mayor John Cooper today saying it's fake news that Nashville is hiding information about its COVID clusters in bars. Did Nashville's mayor deliberately overstate the number of coveted cases tied to Nashville bars when he shut them down July 2nd? https://sWs.sh/ZIHvU NASHVILLE NOW ON MAYOR DENIES HIDING DETAILS ON COVID CASES IN BARS COOPER CALLS ALLEGATIONS FAKE NEWS i TENNESSEESTAR.COM Mayor John Cooper Claims Nashville Bar and Restaurant Owners 'Have Been Playing with Matches in a Barn 4 41 16 Comments 6 Shares Like Comment Share |,The Tennessee Star 5h 6 Mayor John Cooper today saying it's fake news that Nashville is hiding information about its COVID clusters in bars. Did Nashville's mayor deliberately overstate the number of coveted cases tied to Nashville bars when he shut them down July 2nd? https://sWs.sh/ZIHvU NASHVILLE NOW ON MAYOR DENIES HIDING DETAILS ON COVID CASES IN BARS COOPER CALLS ALLEGATIONS FAKE NEWS i TENNESSEESTAR.COM Mayor John Cooper Claims Nashville Bar,2020-09-21 10:09:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,https://twitter.com/chanell_sa/status/1318094615044673537?s=21,Tweet depicts attack from 2 years ago,The tweet depicts a victim who was beaten during a robbery. The tone of the language used insinuates that the crime was racially motivated.,This is misinformation. In this case,given the volatility around the issue of racism,posting content such as this heightens tensions. While it may have been done inadvertently (although with strong racist undertones in the language used),given the traction the tweet gained,it would have been advisable to delete it to stop further sharing.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/a8eregn5__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/a8eregn5__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/a8eregn5__0.jpeg,LJ Danie Barnard Retweeted Chanell van den Bergh @chane . 2h V Another attack today...on a school girl. Guess she was too white to not be hit multiple times by the attackers. I don't have words for these animals. 15 L155 66 T |,LJ Danie Barnard Retweeted Chanell van den Bergh @chane . 2h V Another attack today...on a school girl. Guess she was too white to not be hit multiple times by the attackers. I don't have words for these animals. 15 L155 66 T |,LJ Danie Barnard Retweeted Chanell van den Bergh @chane . 2h V Another attack today...on a school girl. Guess she was too white to not be hit multiple times by the attackers. I don't have words for these animals. 15 L155 66 T |,2020-10-19 10:13:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,https://twitter.com/romancabanac/status/1318909408194199555?s=21,Roman Cabanac Tweet: regarding a fictitious second wave of COvid19,Roman Cabanac claims,in response to Dr. Mkhize’s article on the increasing numbers of infections,that statements that a second wave of COVID 19 in SA would be fictitious.,Whilst the comment in question does not meet the criteria for Mis/Disinformation,it is a foolish and inaccurate statement. The minister's caution is well founded,the presence of second waves of COVID19 have been widely documented elsewhere in the world. The comment by Roman adds no value.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/0LK2ZRCZ__0.jpeg,Roman Cabanac @RomanCabanad Here comes the fictitious 2nd wave boys. I i Dr Zweli Mkhize Q @DrZweliMkhize 1h We are now encouraging all provinces to pay attention to these increasing numbers and quickly mount a response,including contact tracing and quarantine. Show this thread 15:38 . 2020/10/21 . Twitter for iPhone 12 Retweets 1 Quote Tweet 33 Likes 2 LZ C2 T sitting bull @sittinginbull . 9m Replying to @RomanCabanad i heard wave #5 is going to be the mother of all waves R |,2020-10-21 14:03:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,https://lockdownsceptics.org/covid-marie-celestes/,Article makes controversial claims about a second wave,and immunity,The article is written by Dr Mike Yeadon,who was the Vice President and Chief Science Officer for Pfizer for 16 years. It disputes a number of commonly-held beliefs about COVID-19,and the approach to managing the infection rates. It also questions the NHS' approach to managing cases other than COVID-19 cases.,Until there is conclusive scientific proof regarding these claims,it must be seen as misinformation.  This article may be presented as an opinion,albeit by someone with scientific medical expertise,but it contains opinions that have not yet been conclusively scientifically tested and verified. Accordingly,until such time as this is done,this information must be treated carefully. Admittedly,this platform does not have the scientific expertise to rule on the truth of the statements,but other credible fact-checking bodies have deemed the idea of the impossibility of the notion of a second wave as false. The nature and possibility of immunity is still in the process of being researched and there is no conclusive scientific guideline around this yet. https://www.poynter.org/?ifcn_misinformation=there-is-no-second-wave-of-covid-19-this-second-wave-is-really-just-the-normal-flu-common-cold-season-that-happens-every-year https://www.reuters.com/article/uk-factcheck-herd-immunity-positive-rate-idUSKCN25327U,Resolved,Other Website,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/qq6v72wb__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/qq6v72wb__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/qq6v72wb__0.jpeg,it's absurd. While there has recently need an increase in utilisation of ITU beds,I don't know about you,but to COVID-19: me it's completely unacceptable that someone's decided it's ok not to replace your heart valve and certain other elective surgeries. Why? To cope with an expected second wave. How. Reliable is Imperial College's Modelling? This is where and why I got stuck in. Viruses do not do waves. It's not possible to have a second wave of Code Review of Ferguson's Model infections and deaths in a country which has already been intensely infected in spring. This is because those infected and survived,which is 99.8% are then immune. When a pandemic was self-limiting,as it was in U.K. Second Analysis of Ferguson's Model and almost everywhere I've looked,it's now not possible for the population to enable and support a large,How. Replicable is the Imperial. College consolidated and growing epidemic. I knew that back in June and of course we're not experiencing a second Model? wave,but a Secondary,2020-10-22 20:23:11,,,,,,,,,,,,,,,,,,,,
950,https://twitter.com/mynameisjerm/status/1319580129597837312?s=20,Tweet alleging Location Tracking is coming to SA soon.,Complaint received that the tweeter undermines public health efforts by claiming that the SA government plans to track individual's movements through its Covid-19 app. He uses a screen grab from an alleged Australian SMS without context to insinuate that this will be part of the SA government's plan,although it has repeatedly been pointed out that the app does not collect personal information.,This tweet constitutes mis/disinformation and is irresponsible to share given how easy it is to determine online that the screen grab information shared is a hoax coupled with the fact that the tweeter has a following of over 18 000 on twitter.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2SCMJ58W__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2SCMJ58W__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/2SCMJ58W__0.png,Jerm @mynameisjerm-1 Coming soon. The COVIDsafe App has detected you are now +20km from your nominated home address. Please register your reason for travel by calling 1300 1MY GOV (+61 1300 169 468) within 15 minutes of receiving this SMS (10:12am AEST Monday 27 April 2020). Thank you. 10 t2 5 36 I - |,Jerm @mynameisjerm-1 Coming soon. The COVIDsafe App has detected you are now +20km from your nominated home address. Please register your reason for travel by calling 1300 1MY GOV (+61 1300 169 468) within 15 minutes of receiving this SMS (10:12am AEST Monday 27 April 2020). Thank you. 10 t2 5 36 I - |,Jerm @mynameisjerm-1 Coming soon. The COVIDsafe App has detected you are now +20km from your nominated home address. Please register your reason for travel by calling 1300 1MY GOV (+61 1300 169 468) within 15 minutes of receiving this SMS (10:12am AEST Monday 27 April 2020). Thank you. 10 t2 5 36 I - |,2020-10-23 11:21:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,https://m.facebook.com/photo.php?fbid=3823865520980489&id=100000712368488&set=a.1006625099371226&source=48,Facebook: James RIckman post re: Covid19 not being a deadly disease.,Complaint is that the post states that there is no deadly disease: Covid as all deaths are caused by previous diseases.,The information shared is disinformation as has been investigated and confirmed by https://www.poynter.org/?ifcn_misinformation=german-physician-klaus-puschel-declared-there-is-no-killer-virus. That site links to a longer analysis in Spanish,that basically says the Facebook post has been cobbled together from other comments,twisted and taken out of context. The Facebook profile itself may well be fake as well meaning that it has been established purely to spread dis and misinformation about Covid19.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/8y90kh92__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/8y90kh92__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/8y90kh92__0.jpeg,NOBODY HAS DIED OF COVID-19 IN HAMBURG WITHOUT PREVIOUS ILLNESSES' FRIENDS of TRUTH There is NO killer virus. Klaus Puschel RENOWNED FORENSIC DOCTOR |,NOBODY HAS DIED OF COVID-19 IN HAMBURG WITHOUT PREVIOUS ILLNESSES' FRIENDS of TRUTH There is NO killer virus. Klaus Puschel RENOWNED FORENSIC DOCTOR |,NOBODY HAS DIED OF COVID-19 IN HAMBURG WITHOUT PREVIOUS ILLNESSES' FRIENDS of TRUTH There is NO killer virus. Klaus Puschel RENOWNED FORENSIC DOCTOR |,2020-10-23 20:15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,https://www.facebook.com/groups/540405462662585/permalink/2736968653006244/,Facebook Image: Covid19 is not a real pandemic.,Lebogang Choken Sithole Facebook via the JoziFm Family page who’s busy claiming that covid19 is not a real pandemic but a game and an operational model. His images suggests: an exaggerated virus models,rigged results and faulty testing kits,Lebogang Choken Sithole's post is disinformation and uses the picture and screengrab to state that the virus is not a real pandemic and that it utilises exaggerated virus models,rigged results and fault testing kits and is being used by a group of people to control and depopulate,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/n9f630y6__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/n9f630y6__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/n9f630y6__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/n9f630y6__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/n9f630y6__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/n9f630y6__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/n9f630y6__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/n9f630y6__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/n9f630y6__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/n9f630y6__3.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/n9f630y6__3.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/n9f630y6__3.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/,REAL PANDEMICS DON'T REQUIRE KOWALSKI Numby EXAGGERATED VIRUS MODELS FAULTY TESTING KITS CDC'S GUIDANCE FOR CERTIFYING COVID-19 DEATHS reasonable degree of certainty),it is acceptable to report COVID-19 on a death presumed. RIGGED RESULTS & FALSIFIED DEATH CERTIFICATES BUT PSYCHOLOGICAL OPERATIONS DO |,REAL PANDEMICS DON'T REQUIRE KOWALSKI Numby EXAGGERATED VIRUS MODELS FAULTY TESTING KITS CDC'S GUIDANCE FOR CERTIFYING COVID-19 DEATHS reasonable degree of certainty),it is acceptable to report COVID-19 on a death presumed. RIGGED RESULTS & FALSIFIED DEATH CERTIFICATES BUT PSYCHOLOGICAL OPERATIONS DO |,REAL PANDEMICS DON'T REQUIRE KOWALSKI Numby EXAGGERATED VIRUS MODELS FAULTY TESTING KITS CDC'S GUIDANCE FOR CERTIFYING COVID-19 DEATHS reasonable degree of certainty),it is acceptable to report COVID-19 on a death certificate as probable or presumed. RIGGED RESULTS & FALSIFIED DEATH CERTIFICATES BUT PSYCHOLOGICAL OPERATIONS DO |,THE CORONAV V,2020-10-24 7:04:20,,,,,,,,,,,,,,,,,,,
954,https://www.facebook.com/groups/napierdorpers,Comments on FB post rely on conspiracy theories to cast doubt on existence of COVID-19,The complaint is in respect of comments made after eight staff members at a hospital in the Overberg tested positive for COVID-19. The comments cite conspiracy theories and question the way in which the World Health Organisation has approached the COVID-19 pandemic.,The comments in question are misinformation (albeit opinion) based on conspiracy theories.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/7XA96FE2__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/7XA96FE2__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/7XA96FE2__0.jpeg,OTTO Suidernuus / Southern Post and Suiderpers Yesterday at 3:14 PM . 6 Eight staff members of the Otto du Plessis Hospital in Bredasdorp testing positive for COVID-19 Measures set in place - emergency department remains open Accor.. See More See original . Rate this translation Q6 20 14 Comments 7 Shares Like Share Anneke Botha Morison Hier begin hulle alweer..slim Covid,hy raak stil,en dan skielik besluit die WHO,dis nou weer tyd?? Ek glo niks meer nie. Als net om ons voir te berei vir volgende lockdown!! Ek verstaan nie,orals was dit stil,nou skielik dit. I smell a fat rat!! Like . See Translation . 21h 2 Carine Fourie Badenhorst Anneke Botha Morison ek stem saam. Fauci en Gates se toets vir 'n moontlike pandemie langer as 'n dekade gelede,was geskoei op 65miljoen sterftes wereldoor. Dit SOU genoeg wees vir die Nuwe Wereld Orde om oor te neem wanneer die totale ekonomie tot... See More Like Sae Tesnelation 216 4 |,OTTO Suidernuus / Southern Post and Suiderpers Yesterday at 3:14 PM . 6 Eight staff,2020-10-24 13:21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,,Phishing Scam: UN is paying relief as a result of COVID19 Financial hardship,Scam SMS saying the UN is paying individuals to help with bills due to the corona virus with an email address to contact.,This is clearly disinformation. It is an attempt to get people's personal details,via e-mail,to potentially defraud them. Notification should be put out as soon as possible for people to delete this message and block the sender.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/YG9RC0A1__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/YG9RC0A1__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/YG9RC0A1__0.jpeg,19:46 YPE .il 96% 9 27679585340 & : Add to contacts Block number Saturday,24 October 2020 e UN has announced a 2nd wave of relief to help financial commitments as Covid-19 impacts livelihood,to claim US$1.9M,email: claims@un -uncc.org,REF: PH-211R 15:20 + III O |,19:46 YPE .il 96% 9 27679585340 & : Add to contacts Block number Saturday,24 October 2020 e UN has announced a 2nd wave of relief to help financial commitments as Covid-19 impacts livelihood,to claim US$1.9M,email: claims@un -uncc.org,REF: PH-211R 15:20 + III O |,19:46 YPE .il 96% 9 27679585340 & : Add to contacts Block number Saturday,24 October 2020 e UN has announced a 2nd wave of relief to help financial commitments as Covid-19 impacts livelihood,to claim US$1.9M,email: claims@un -uncc.org,REF: PH-211R 15:20 + III O |,2020-10-24 17:53:33,,,,,,,,,,,,,,,,,,,,,
958,,Voice notes circulated via WhatsApp alleging that a move to lockdown level 3 is imminent,This complaint pertains to a series of voice notes in which the speaker alleges that a move to lockdown level 3 is scheduled for the end of November 2020 and that as a result thereof shops will be closed.   The complaint is that this is mis- or disinformation.,While another lockdown cannot be totally ruled out there is no evidence to suggest that it will be at the end of November nor that it will be immediate,nor that supplies in shops will run out.  There is also a racial warning about white people needing to protect themselves against black people which in itself is an unfounded claim to make. The person also says the lockdown will be months and months long. Many of the claims made are entirely unfounded,but given the paranoia currently raging across nation,it is imperative that such content be dismissed as FAKE.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/M57UTYCG__0.mp4,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/M57UTYCG__0.mp4,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/M57UTYCG__0.mp4,NULL,2020-10-25 9:38:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,https://twitter.com/mynameisjerm/status/1321010991086358530?s=21,Tweet labels COVID-19 vaccination trial a scam,The tweet features an add calling for clinical trial participants and deems it to be a scam.,The author of the tweet is known to have an anti-vaccination stance. By labelling what is,as far as we know,a legitimate medical trial,a scam,he is disinforming the public,who may be hesitant to participate because of this.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/a015tvzc__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/a015tvzc__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/a015tvzc__0.jpeg,Synexus Clinical Research SA Sponsored . S Ons is op soek na vrywilligers vir 'n kliniese K Hide ad proefverwante sorg insluit. Never see this ad again ! Report ad Tell us about a problem with this - cave Report Report this ad Help us understand what's happening with this ad. How would you describe it? Misleading or scam Sexually inappropriate Offensive Thank you for submitting a report. Misleading or scam We will review your report and notify you of our decision. Other steps you can take |,Synexus Clinical Research SA Sponsored . S Ons is op soek na vrywilligers vir 'n kliniese K Hide ad proefverwante sorg insluit. Never see this ad again ! Report ad Tell us about a problem with this - cave Report Report this ad Help us understand what's happening with this ad. How would you describe it? Misleading or scam Sexually inappropriate Offensive Thank you for submitting a report. Misleading or scam We will review your report and notify you of our decision. Other steps you can take |,Synexus Clinical Research SA S,2020-10-27 9:27:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,https://twitter.com/mynameisjerm/status/1320959023487832065?s=21,Tweet: SARS-CoV-2,a virus with almost identical behaviour to influenza,While the tone and nature of the tweet may indicate that it is an opinion,given that it concerns a serious matter,it should clearly be pointed out as such. This is especially so given that the author of the tweet seeks to discredit the efficacy of measures such as handwashing and wearing of face masks.,While this could be seen as satire,the serious nature of the matter and the numerous conspiracy theories surrounding it require that any information that confuses or misleads - even if intended as a joke,be pointed out as such. Insinuating that handwashing and masks are not effective in curbing the infection spread is problematic. This article by Johns Hopkins School of Public Health provides an explanation of the differences between flu and COVID-19: https://www.jhsph.edu/covid-19/articles/no-covid-19-is-not-the-flu.html,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/IPI6V99M__0.jpeg,Jerm @mynameisjerm But not with SARS-CoV-2,a virus with almost identical behaviour to influenza. Yes. Totally. \archaticNarcissism 8 @NrkOt... . 5h So apparently masks and washing hands helped with the flu as well.. 07:22 . 2020/10/27 . Twitter Web App 3 Retweets 1 Quote Tweet 23 Likes 9 L C I Michele Jones @SAWBOBandB . 5h Replying to @mynameisjerm CRIMES AGAINST HUMANITY Reiner Fuellmich and his worldwide |,2020-10-27 11:05:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,https://twitter.com/our_da/status/1321498334545256452?s=21,Tweet: Da engaging on what Tito Mboweni stated about Tygerberg Hospital Segregation.,The complaint is that Natasha Mazzone is sharing misinformation about what Tito Mboweni said,claiming that he said the Tygerberg Hospital has 'two sides,one for black patients and one for white patients,Whilst this inaccurate information cannot be construed to cause public harm,it is cheap politicking and misquoting for purposes of political gain. The DA should remove this tweet from its platform. What Mr Mboweni actually said was,By the way,this Tygerberg Hospital thing,it still has a black and white section. There is a section where blacks used to go and there is a section where whites used to go. Structurally it is still there,so the thing has to be removed and a completely new hospital constructed there. It’s unbelievable.”,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/y9kv8cpo__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/y9kv8cpo__0.png,Democratic Alliance Q @Our_DA . 15h 0 * I The DA will now lay charges against Tito Mboweni for his lie,claiming that Tygerberg Hospital is segregational. His petty utterances are an insult to the Tygerberg health professionals who have sacrificed all to save lives during a global pandemic. - @Natasha9Mazzone DA The DA will now lay charges against Minister Tito Mboweni for his lie and insult,about Tygerberg Hospital. 6.9K views 0:00/1:11 1:11 1 1 |,Democratic Alliance Q @Our_DA . 15h 0 * I The DA will now lay charges against Tito Mboweni for his lie,claiming that Tygerberg Hospital is segregational. His petty utterances are an insult to the Tygerberg health professionals who have sacrificed all to save lives during a global pandemic. - @Natasha9Mazzone DA The DA will now lay charges against Minister Tito Mboweni for his lie and insult,about Tygerberg Hospital. 6.9K views 0:00/1:11 1:11 1 1 |,2020-10-29 9:08:01,,,,,,,,,,,,,,,,,,,,,,,,,,
970,,Phishing Scam: Offering Covid relief of R3000 per citizen,This is a classic phishing scam and requires a person's bank account details in order to make the alleged deposit.,This is Disinformation and is a classic phishing scam. There is no relief fund offering R3000 per citizen.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/jieqqb4f__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/jieqqb4f__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/jieqqb4f__0.jpeg,creamed once and 100 disu limited SO get your now Instantly Government has finally approved and have started giving out free R3000 Relief Funds to each citizen Below is how to claim and get yours credit Instantly as I have just did now ttps.//fund-for-covid19.com/ Note : You can only claim and get I credited once and it's also limited SO get your now Instantly 14:03 |,creamed once and 100 disu limited SO get your now Instantly Government has finally approved and have started giving out free R3000 Relief Funds to each citizen Below is how to claim and get yours credit Instantly as I have just did now ttps.//fund-for-covid19.com/ Note : You can only claim and get I credited once and it's also limited SO get your now Instantly 14:03 |,creamed once and 100 disu limited SO get your now Instantly Government has finally approved and have started giving out free R3000 Relief Funds to each citizen Below is how to claim and get yours credit Instantly as I have just did now ttps.//fund-for-covid19.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,https://twitter.com/romancabanac/status/1321792879501758464?s=21,ReTweet by Roman Cabanac: Dr Mahathir Mohamed,Cabanac is conveying content in a misleading manner through selective quoting.This is dis/misinformation and very dangerous in a time when there are extreme tensions between France and Islamic countries which have already led to deaths.,Whilst the retweeted tweet shared by Cabanac has been removed by Twitter,this does not change the fact that the retweeting by Cabanac,in the selective manner shared,amounts to disinformation.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gzad6hvy__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gzad6hvy__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/gzad6hvy__0.jpeg,Roman Cabanac @RomanCabanac Prime Minister of Malaysia is Dr Mahathir Mohamad Q @chedet... 6h 12. Muslims have a right to be angry and to kill millions of French people for the massacres of the past. Show this thread 14:35 . 2020/10/29 . Twitter for iPhone 9 Retweets 2 Quote Tweets 24 Likes Q L C T You reported this Tweet. View Eduard Smith @EduardSmith 3h Replying to @RomanCabanac Guys,you commenting here,I'm sure it was not @RomanCabanac's intension |,Roman Cabanac @RomanCabanac Prime Minister of Malaysia is Dr Mahathir Mohamad Q @chedet... 6h 12. Muslims have a right to be angry and to kill millions of French people for the massacres of the past. Show this thread 14:35 . 2020/10/29 . Twitter for iPhone 9 Retweets 2 Quote Tweets 24 Likes Q L C T You reported this Tweet. View Eduard Smith @EduardSmith 3h Replying to @RomanCabanac Guys,you commenting here,I'm sure it was not @RomanCabanac's intension |,Roman Cabanac @RomanCabanac Prime Minister of Malaysia is Dr Mahathir Mohamad Q @chedet... 6h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,https://twitter.com/TheHeat001/status/1321971586895785984?s=20,Tweet: Chris van Heerden about EFF,Chris Van Heerden has tweeted an image from 2013 claiming This is EFF a political party under the leadership of Julius Malema in South Africa. This is what they stand / fight for. They say / do as they like and nothing happens to them while the white man are being brutally murdered. The EFF formally distanced itself from the members and the sentiments expressed in the flags.,Twitter user Chris Van Heerden tweets that the EFF stands and fights for hatred and bloodshed against whites. He uses an old photo from 2013,which the EFF had already publicly renounced. Despite the dislike one might have for the EFF's policies and actions,using a photo that is 7 years out of date to persuade Americans and other International twitter users that this is the current policy that the EFF currently subscribes to,is disinformation.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/6UE77RU1__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/6UE77RU1__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/6UE77RU1__0.png,This is EFF a political party under the leadership of Julius Malema in South Africa This is what they stand / fight for They say / do as they like and nothing happens to them while the white man are being brutally murdered R HONEYMOON IS OVER FOR WHITE PEOPLE IN SOUTH AFRICA G BECOMARY LING MACHINE MOTIVATED BY PURE HATE |,This is EFF a political party under the leadership of Julius Malema in South Africa This is what they stand / fight for They say / do as they like and nothing happens to them while the white man are being brutally murdered R HONEYMOON IS OVER FOR WHITE PEOPLE IN SOUTH AFRICA G BECOMARY LING MACHINE MOTIVATED BY PURE HATE |,This is EFF a political party under the leadership of Julius Malema in South Africa This is what they stand / fight for They say / do as they like and nothing happens to them while the white man are being brutally murdered R HONEYMOON IS OVER FOR WHITE PEOPLE IN SOUTH AFRICA G BECOMARY LING MACHINE MOTIVATED BY PURE HATE |,2020-10-30 12:27:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,https://www.facebook.com/groups/1608782462630839/,Facebook group disseminating COVID-19-related (mis)information,The entire Group appears to drive an anti-mask,anti-precaution,anti-critical thinking agenda.,This Facebook group disseminates COVID-19-related misinformation. It has been reported to Facebook.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__2.png,f Stop Lockdown Masks in RSA Renier Home Find Friends Create Stop Lockdown #NAME? More Join this group to post and comment Masks in RSA Endthelockdownmzansi s Public group 1,307 people like this About Discussion YOUTUBE COM RECENT GROUP PHOTOS See all Members Australian MP Ann Bressington Exposes Agenda 21 Connery Sheve Jabs AND STY GUTL# DID YOU KNOW? If you think Agenda 21 is just a conspiracy theory,or if you don't know wha,Events MY MASK INSIDE Videos Like Share #NAME? Photos Gunther Alexander shared a link. Files 1h English (UK) . English (US) . Afrikaans + Francais (France) Espanol Search this group https://electionnight.news/watch?id=5f9f647ff2aba40f0a83f52 Privacy - Terms - Advertising - AdChoices Cookies . More - Facebook 2020 MASKS Primary Doctor ELECTIONNIGHT.NEV BREAKING: FAUCI CONFIRMS! COVID-19 MASKS Save CAUSE MAJORITY OF FATALITIES VIA BAC TERIAL Like Share Chris Elsom shared a post. 2h MACA a Chat |,f Stop Lockdown Masks in RSA Renier Home Find Friends Create Stop Lockdown + Join g,2020-11-02 11:00:02,,,,,,,,,,,,,,,,,,,,,,,,,
