id,source_url,title,overview,outcome,status,platform,asset_urls,asset_text_extracts,created_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,https://twitter.com/TheHeat001/status/1321971586895785984?s=20,Tweet: Chris van Heerden about EFF,Chris Van Heerden has tweeted an image from 2013 claiming This is EFF a political party under the leadership of Julius Malema in South Africa. This is what they stand / fight for. They say / do as they like and nothing happens to them while the white man are being brutally murdered. The EFF formally distanced itself from the members and the sentiments expressed in the flags.,Twitter user Chris Van Heerden tweets that the EFF stands and fights for hatred and bloodshed against whites. He uses an old photo from 2013,which the EFF had already publicly renounced. Despite the dislike one might have for the EFF's policies and actions,using a photo that is 7 years out of date to persuade Americans and other International twitter users that this is the current policy that the EFF currently subscribes to,is disinformation.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/6UE77RU1__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/6UE77RU1__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/6UE77RU1__0.png,This is EFF a political party under the leadership of Julius Malema in South Africa This is what they stand / fight for They say / do as they like and nothing happens to them while the white man are being brutally murdered R HONEYMOON IS OVER FOR WHITE PEOPLE IN SOUTH AFRICA G BECOMARY LING MACHINE MOTIVATED BY PURE HATE |,This is EFF a political party under the leadership of Julius Malema in South Africa This is what they stand / fight for They say / do as they like and nothing happens to them while the white man are being brutally murdered R HONEYMOON IS OVER FOR WHITE PEOPLE IN SOUTH AFRICA G BECOMARY LING MACHINE MOTIVATED BY PURE HATE |,This is EFF a political party under the leadership of Julius Malema in South Africa This is what they stand / fight for They say / do as they like and nothing happens to them while the white man are being brutally murdered R HONEYMOON IS OVER FOR WHITE PEOPLE IN SOUTH AFRICA G BECOMARY LING MACHINE MOTIVATED BY PURE HATE |,2020-10-30 12:27:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,https://www.facebook.com/groups/1608782462630839/,Facebook group disseminating COVID-19-related (mis)information,The entire Group appears to drive an anti-mask,anti-precaution,anti-critical thinking agenda.,This Facebook group disseminates COVID-19-related misinformation. It has been reported to Facebook.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/RCPINV0I__2.png,f Stop Lockdown Masks in RSA Renier Home Find Friends Create Stop Lockdown #NAME? More Join this group to post and comment Masks in RSA Endthelockdownmzansi s Public group 1,307 people like this About Discussion YOUTUBE COM RECENT GROUP PHOTOS See all Members Australian MP Ann Bressington Exposes Agenda 21 Connery Sheve Jabs AND STY GUTL# DID YOU KNOW? If you think Agenda 21 is just a conspiracy theory,or if you don't know wha,Events MY MASK INSIDE Videos Like Share #NAME? Photos Gunther Alexander shared a link. Files 1h English (UK) . English (US) . Afrikaans + Francais (France) Espanol Search this group https://electionnight.news/watch?id=5f9f647ff2aba40f0a83f52 Privacy - Terms - Advertising - AdChoices Cookies . More - Facebook 2020 MASKS Primary Doctor ELECTIONNIGHT.NEV BREAKING: FAUCI CONFIRMS! COVID-19 MASKS Save CAUSE MAJORITY OF FATALITIES VIA BAC TERIAL Like Share Chris Elsom shared a post. 2h MACA a Chat |,f Stop Lockdown Masks in RSA Renier Home Find Friends Create Stop Lockdown + Join g,2020-11-02 11:00:02,,,,,,,,,,,,,,,,,,,,,,,,,
981,https://twitter.com/chestermissing/status/1323170149088874497,Chester Missing's statement re. number of DA leaders questioned,In response to the tweet,the complainant states: the DA doesn't have a top five,they have a leadership structure consisting of 11 people,six of whom are white,four are black,and one is a coloured person.,The information in the tweet by satirist Chester Missing is indeed inaccurate,but it depends on whether he is referring to the Federal positions exclusively,thereby not including the Deputies and certainly not the provincial leaders to whom the complainant refers. However,even if he is only referring to the Federal positions,there are six of them in the SA,of which three are white. If he is including Anton Bredell or Thomas Walters in his count of white people (who are both Deputies) then it does increase the number of white people to six,but extends the number of people in leadership to 11. That said,Chester Missing is a known satirist and political commentator.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/L6XI8PA5__0.png,Chester Missing ooo (wy @chestermissing 4 of the DA's top 5 leaders are white? No wonder they don't want people to see colour. 9:48 AM - Nov 2,2020 . Twitter Web App |,2020-11-03 8:28:48,,,,,,,,,,,,,,,,,,,,,,,,,,
982,https://twitter.com/renaldogouws/status/1323553807016644608?s=21,Statement re. Konrad Koch/ Chester Missing,A video clip featuring Konrad Koch/ Chester Missing using hateful words (during a comedy performance) is used to drive the point that they are guilty of hate speech. The tweet fails to mention the comedic context of the dialogue,which is crucial to the understanding thereof.,The complaint was framed as journalist harassment. While this does not fall within the legal definition of journalist harassment,it does constitute disinformation. The act of using a video clip featuring comedic expression that is protected in terms of section 16(1) of the Constitution,out of context to imply that Conrad Koch/ Chester Missing is guilty of hate speech,shows a deliberate intent to mislead to further a particular agenda. This constitutes misleading content,which is a sub-category of disinformation (please see p. 47 (https://en.unesco.org/sites/default/files/journalism_fake_news_disinformation_print_friendly_0.pdf),Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/dblngtjk__0.jpeg,< Renaldo Ngamla Gouws 15,6K Tweets 0 weets Tweets & replies Media Likes THIKK Renaldo Ngamla Gouws . 14m ... So @MediaMattersZA,you use a spokesperson for Real411 that uses the N-word and K-word during their shows. Quite weird considering the purpose of Real41 is to fight hate speech and misinformation. Before you accuse me of misinformation here is the video. MEDIA AERICA Media Matters @Media.. . 2h Mis/Disinformation #REAL411 Campaigns Well-known South African personalities EUSEBIUS MCKAISER share their views on the ALAN COMMITTIE Mis/Disinformation Ca 1 L13 6 I |,2020-11-03 9:34:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,https://twitter.com/mynameisjerm/status/1323913893752774656?s=21,@mynameisjerm: Tweet: eNCA report false,Jerm is tweeting that ENCA journalist are spreading fake news about U.S elections,when there is video proof that President Trump said exactly what they are reporting on.,@mynameisjerm's framing of the eNCA Twitter report as misinformation is inaccurate given that Trump did claim in his speech that as far as he is concerned,he's already won. However,in itself Jerm's tweet doesn't qualify as misinformation given the lack of risk in terms of public harm.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/NANK9K5R__0.jpeg,I eNCA spreading TaKE news. THE RACE FLORIDA 07:09 51.3% 47.8% VOTES COUNTED: 114870919 e NCA eNCA.com,0 T Jerm @mynameisjerm . 5m This is false. Why are you are spreading fake news? re NCA eNCA Q @eNCA . 1h US President Donald Trump claims election victory. Trump threatens court action to stop vote counting. #eNCA Courtesy #DStv403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,75 % of the population of Zimbabweans is in South Africa #PutSouthAfricaFirst #VoetsekANC https://t.co/NW1Mmn2IES,Tweet 75% of Zimbabweans live in South Africa,Complaint that this is Misleading. The intention is to create confusion and promote xenophobia,This information is false but does not cause public harm in and of itself,however taken together with the large number of tweets under the #putSouthAfricansfirst,it is still concerning content and goes towards building a general narrative against foreign Nationals,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/T5R5Q80C__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/T5R5Q80C__0.jpeg,MTNSA-Take Care Mz.. AO * N 59% a I 12:33 Tweet #PutSouthAfricansFirst @King78190744 75 % of the population of Zimbabweans is in South Africa #PutSouthAfricaFirst #VoetsekANC 18:45 . 01 Nov 20 . Twitter for Android 96 Retweets and comments 302 Likes Tweet your reply < |,MTNSA-Take Care Mz.. AO * N 59% a I 12:33 Tweet #PutSouthAfricansFirst @King78190744 75 % of the population of Zimbabweans is in South Africa #PutSouthAfricaFirst #VoetsekANC 18:45 . 01 Nov 20 . Twitter for Android 96 Retweets and comments 302 Likes Tweet your reply < |,2020-11-06 10:31:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,https://www.facebook.com/groups/1477818399184299/permalink/2030135437285923/?__cft__[0]=AZUPYgWGqQ37uvIlvfjxYLg9LBlnLiBUYXF_81eQQea9k6CTS0c1k7uVcH61DZ1hfXE7ZBzGmSOSpQb2nOd6FBdnyvXFL4denpXoMHNT-y_Io-ngR5o8ZWBl84zvuillZ89CXk0VGAd9_vyEYL4KBZxlwJ1pqZy6HlcfFUS,Post cites incorrect information from Liberty Fighters Network to dissuade wearing of masks,The poster is encouraging people to not wear masks and not to social distance. She is using information from an unauthorised source called Liberty Fighters Network to say the government is acting illegally by enforcing measures to keep people safe during the pandemic.,The author of the post is misleading people by placing misguided reliance on information that is not true. It is a risk to COVID-19 precaution measures. Such a court order was not issued. On the 2nd June a judgment and associated order of the North Gauteng Division relating to the disaster management regulations was issued: http://www.saflii.org/za/cases/ZAGPPHC/2020/184.html However such matter remains pending in the courts (at least the majority of the matter) and even if the decision taken is the last word on the matter the minister is required to re-promulgate regulations and the claims made on Facebook are therefore misleading at best. The complainant may wish to report the post to Facebook by taking the following steps: https://www.facebook.com/help/181495968648557,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/S30HX5SP__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/S30HX5SP__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/S30HX5SP__0.png,Tracy Leigh Scott > Hout Bay INFO 1 4 So on the 2nd of June a court order was obtained by the Liberty Network against our governemnt that states the lockdown and every restriction that has been placed on us is illegal and unconstitutional. Most people don't know this. We do not have to wear masks,we do not have to social distance,obey curfew etc etc. It's about time we as citizens take back our rights. Read all about it here: i LIBERTYFIGHTERS.CO.ZA Home - Liberty Fighters Network Liberty Fighters Network is a dynamic alternative preasure group against South African Government corruption acting as mouthpiece for all. 4 7 comments |,Tracy Leigh Scott > Hout Bay INFO 1 4 So on the 2nd of June a court order was obtained by the Liberty Network against our governemnt that states the lockdown and every restriction that has been placed on us is illegal and unconstitutional. Most people don't know this. We do not have to wear masks,we do not have to social distance,obey curfew etc etc. It's about time we as citi,2020-11-06 10:56:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,https://twitter.com/Jonathan_Witt/status/1325326908637274112,Tweet outrightly denying efficacy of measures implemented to control spread of COVID-19,The tweet,authored by a registered healthcare practitioner,disputes the efficacy of measures implemented by the government to curb the spread of COVID-19.,The information presented by Jonathan Witt in his tweet is not only largely unsubstantiated,but it also goes against some of the guidelines advised by medical professionals and the Government in order to control and lessen the spread of the virus.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/89ZG65P2__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/89ZG65P2__0.jpeg,Jonathan Witt @Jonathan_Witt . Nov 8 Let's recap: - Lockdowns don't work - Primary ventilation doesn't work - Fabric masks don't work - Quarantining the healthy doesn't work - Testing asymptomatics doesn't work - Hiding for a vaccine doesn't work - Banning all travel doesn't work - Closing schools doesn't work O 41 27 217 0 |,Jonathan Witt @Jonathan_Witt . Nov 8 Let's recap: - Lockdowns don't work - Primary ventilation doesn't work - Fabric masks don't work - Quarantining the healthy doesn't work - Testing asymptomatics doesn't work - Hiding for a vaccine doesn't work - Banning all travel doesn't work - Closing schools doesn't work O 41 27 217 0 |,2020-11-09 11:04:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,https://twitter.com/MafavukeMsomi/status/1326072267772735488,Threatening Tweet singles out individual,A widely-shared Tweet mentions the name and details of an individual involved in the Brackenfell High School attack.,This Tweet satisfies the criteria for misinformation and incitement to violence. This tweet is extremely concerning; it has been retweeted by a number of EFF supporters and in one of the tweets,a @shiyaelihle responds to @Oabs with a picture of a man with a panga and the words 'do you have his address?'. Further comments include 'what are his co-ordinates' and a detailed description of how to track Dante and his girlfriend via Facebook. (https://twitter.com/Oabs_/status/1326040573279690752?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet). It is also unclear why Dante's girlfriend has been identified. One user responds she has been identified as 'she must know what a racist her boyfriend is' and 'deserves it'. Other replies say 'don't alert the police,please dm me if you see him'. If Dante van Wyk has been implicated for being violent and harming others,charges should be laid formally with the SAPS so that proper due process can be followed. These tweets will be reported Twitter as they violate their user policies.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/O00LZADF__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/O00LZADF__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/O00LZADF__0.png,Bonga Msomi Retweeted;Moabi Moabi @Oabs_ - 15h 0 His girlfriends name is Nikita Taljaard,his name is Dante Van Wyk #IStandWithEFF V V 14 likes 14 likes dante.vanwyk.love1303 i need to love you paby_gurl_nikital love u so much View all 4 comments bby @@dante.vanwyk.love1303 09-Sep-19 View 1 comment in Q + DO n Q 25 LI 88 170 |,Bonga Msomi Retweeted Moabi Moabi @Oabs_ - 15h 0 His girlfriends name is Nikita Taljaard,his name is Dante Van Wyk #IStandWithEFF V V 14 likes 14 likes dante.vanwyk.love1303 i need to love you paby_gurl_nikital love u so much View all 4 comments bby @@dante.vanwyk.love1303 09-Sep-19 View 1 comment in Q + DO n Q 25 LI 88 170 |,Bonga Msomi Retweeted Moabi Moabi @Oabs_ - 15h 0 His girlfriends name is Nikita Taljaard,his name is Dante Van Wyk #IStandWithEFF V V 14 likes 14 likes dante.vanwyk.love1303 i need to love you paby_gurl_nikital love u so much View all 4 comments bby @@dante.vanwyk.love1303 09-Sep-19 View 1 comment in Q + DO n Q 25 LI 88 170 |,2020-11-10 21:33:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,https://twitter.com/LindiMazibuko/status/1325885691457376256,Not enough evidence re Brackenfell-related post,A post purportedly published by an account affiliated to Brackenfell High,claiming superiority of Hitler's Nazi regime (in terms of eugenics) was submitted for review.,We currently do not have enough evidence to conclusively rule this post as fake - nor can we verify it as legitimate. We note that the South African Human Rights Commission has condemned the incident and will be conducting its own investigation into the allegations of racism at the school. It is hoped that an investigation of this nature will involve amongst other things,the scrutiny of messaging such as the post submitted for review to establish its veracity.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/830B0YWE__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/830B0YWE__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/830B0YWE__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/830B0YWE__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/830B0YWE__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/830B0YWE__1.png,re_vera_brackenfell Maybe Hitler had a point # Blondes with blue eyes have made quite the impression here at Brackenfell High School. Get to know more about your leaders,Dominique Fuchs (deputy-chairperson) and Wikus Strydom (chairperson),in this term's editon of the Re Vera. Order at your admin teacher for ONLY R5 #headboy #headgirl #rcl #2017 #leadership #newedition Freaumore #proud #hitler Reply |,re_vera_brackenfell Maybe Hitler had a point # Blondes with blue eyes have made quite the impression here at Brackenfell High School. Get to know more about your leaders,Dominique Fuchs (deputy-chairperson) and Wikus Strydom (chairperson),in this term's editon of the Re Vera. Order at your admin teacher for ONLY R5 #headboy #headgirl #rcl #2017 #leadership #newedition Freaumore #proud #hitler Reply |,re_vera_brackenfell Maybe Hitler had a point # Blondes with blue eyes have made quite the impression here at Brackenfell High School. Get to know more about your leaders,Dominique Fuchs (deputy-chairperson) an,2020-11-11 7:12:12,,,,,,,,,,,,,,,,,,,,,,,,,
1011,https://twitter.com/KamoMarven/status/1326409144849534976,Tweet: Ramaphosa to sign Legislation to Ban Porn,Complaint that there is not evidence to support this statement.,This tweet contains information that is false/misleading but it does not meet the full criteria for mis/disinformation.There is no evidence in the media that President Ramaphosa is about to ban porn sites 'because it makes the youth dumb'.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/u3e4xyju__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/u3e4xyju__0.png,Tweet Kamo Marven 0 @KamoMarven Cyril Ramaphosa on Friday will be signing a new law which forbids accessing porn sites and also distribution of porn because it is said that porn is the reason our youth is dumb. 8:19 AM . Nov 11,2020 . Twitter Web App 15 Retweets 9 Quote Tweets 136 Likes |,Tweet Kamo Marven 0 @KamoMarven Cyril Ramaphosa on Friday will be signing a new law which forbids accessing porn sites and also distribution of porn because it is said that porn is the reason our youth is dumb. 8:19 AM . Nov 11,2020 . Twitter Web App 15 Retweets 9 Quote Tweets 136 Likes |,2020-11-11 10:41:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,https://twitter.com/PigSpotter/status/1326591236258619392,@Pigspotter Tweet: Corona Virus App,Twitter user PigSpotter is urging South African's not to download the Corona Virus app because the ANC wants to use their personal information this is mala fide,This is Disinformation. The information posted is not only inaccurate and false,it also doesn't take into account that the social media platform on which it's been posted captures more of your personal data that the Corona Virus App does. That said,the App has already been reviewed and fact checked by AfricaCheck,indicating that many of the claims made by the PigSpotter are untrue: https://africacheck.org/spot-check/no-south-africas-covid-19-tracing-app-does-not-access-contacts-or-any-personal-information/ and https://africacheck.org/fbcheck/google-and-apples-covid-19-notification-technology-no-secret/.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/je3050eb__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/je3050eb__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/je3050eb__0.jpeg,Social media consid. Social Media: Guide. SA Jurisdictions - Sheri.. Jobs Tweet PigSpotter Pty Ltd C see @PigSpotter DO NOT DOWNLOAD the Corona Virus app that the @MYANC are desperately trying to get people to download. From getting access to your personal details and tracking your movements. Personally I would not trust the ANC. 700 000 subscribers out of 56 million population says a lot. 8:22 PM Nov 11,2020 * Twitter for Android 91 Retweets 55 Quote Tweets 266 Likes 27 BLM DRamenbunny7,16h Replying to PigSpotter and @MYANC Doesn't the government already have our personal details...? a t 17 PigSpotter™ Pty Ltd PigSpotter.1 - Not our personal whereabouts,B uetooth tracking,phone usage,then selling the info off to third party companies. No thanks. 10.° THE 3 B Show seplies Justin Credible allo |,Social media consid. Social Media: Guide. SA Jurisdictions - Sheri.. Jobs Tweet,2020-11-12 11:20:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,https://twitter.com/Jonathan_Witt/status/1326866233506074626,@Jonathan_Witt: Tweet regarding Covid19 and Real411 Platform,Jonathan Witt claims that Real411's factcheckers only have BA degrees and that the site is sponsored by George Soros and furthermore Witt is not arguing that the efficacy of certain measures is less than that of other measures and therefore warrants assessment prior to their use,but rather categorically that they have no efficacy at all. This could result in members of the public taking no precautions and being reckless.,CORRECTION: Whilst the outcome decision stands,we apologize for any confusion caused. Real411.org does receive financial support from the Donors listed on the site - this includes the Open Society Foundation of South Africa,which whilst a separate entity,does receive its funds from Mr George Soros. The Secretariat consists of 5 legal professionals none of whom receive any remuneration for doing so. The Secretariat do not work in an NGO environment and were unaware of the connection between Open Society Foundation and Mr George Soros.  Neither Open Society Foundation (or Mr George Soros) nor any other Donors have any say or influence whatsoever in the process,reviews and outcomes of Real411.org. Any such insinuation or statement is vexatious and should be dismissed as such.   For more about how the system work,please visit: https://www.dailymaverick.co.za/article/2020-11-15-disinformation-in-a-time-of-covid-19-weekly-trends-in-south-africa-tackling-accusations-of-bias/   This amounts to Disinformation as it meets the criteria. Furthermore,not every reviewer for Real411 has a BA degree (nor is this a qualification that would deny them the knowledge they need to be able to vet the content of Witt's tweet) nor is there any evidence to suggest that the platform is funded by George Soros. All claims made by Witt in an attempt to defend his decision to post misinformation are unfounded and inaccurate,serving only to attempt to discredit the platform and cause members of the public to act recklessly.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DT2NW0FC__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DT2NW0FC__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/DT2NW0FC__0.jpeg,Jonathan Witt @Jonathan_Witt.45s Retweeting this not only because it précis the science well,but also because people like me who have a BA degree but who unlike me lack a medical degree have decided that it's fake' because their feelings and money from George Soros told them so. Jonathan Witt @Jonathan_Witt-4 Let's recap: - Lockdowns don't work - Primary ventilation doesn't work - Fabric masks don't work |,Jonathan Witt @Jonathan_Witt.45s Retweeting this not only because it précis the science well,but also because people like me who have a BA degree but who unlike me lack a medical degree have decided that it's fake' because their feelings and money from George Soros told them so. Jonathan Witt @Jonathan_Witt-4 Let's recap: - Lockdowns don't work - Primary ventilation doesn't work - Fabric masks don't work |,Jonathan Witt @Jonathan_Witt.45s Retweeting this not only because it précis the science well,but also because people like me who have a BA degree but who unlike me lack a medical degree have decide,2020-11-12 13:09:45,,,,,,,,,,,,,,,,,,,,,,,,
1035,https://twitter.com/mynameisjerm/status/1327513445802106881?s=20,Tweet describing the result of measures taken by airports as result of COVID-19,This complaint pertains to a tweet in which the author of the tweet describes his experience at an airport as a result of measures taken in response to the COVID-19 pandemic. In addition thereto,the Twitter user refers to propaganda being broadcast via the airport speaker system and that all of these measures have been taken as a result of a fake pandemic.  The complaint is that labelling the pandemic as fake is misinformation.,The assertion of a fake pandemic is made as a statement of fact and objectively false and misleading. This is based on the fact that the coronavirus outbreak was labelled a pandemic by the World Health Organisation (WHO) on the 11th of March 2020.   This statement could reasonably be construed to cause public harm as it may encourage people to not take the measures necessary,especially during air travel,to protect themselves and others.  There are no overarching public interest considerations in favour of the continued publication of the information,such as considerations of satire or parody.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/LMM2ITXB__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/LMM2ITXB__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/LMM2ITXB__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/LMM2ITXB__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/LMM2ITXB__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/LMM2ITXB__1.jpeg,Jerm 0 DAT WARFARE @mynameisjerm At the airport and feel like I want to cry the beloved country. Nobody here. No queues anywhere. Covid screening tables. Stupid government forms to fill in. Propaganda all over the sound systems. All because of a fake pandemic. 9:27 AM . Nov 14,2020 . Twitter for iPhone |,Jerm 0 DAT WARFARE @mynameisjerm At the airport and feel like I want to cry the beloved country. Nobody here. No queues anywhere. Covid screening tables. Stupid government forms to fill in. Propaganda all over the sound systems. All because of a fake pandemic. 9:27 AM . Nov 14,2020 . Twitter for iPhone |,Jerm 0 DAT WARFARE @mynameisjerm At the airport and feel like I want to cry the beloved country. Nobody here. No queues anywhere. Covid screening tables. Stupid government forms to fill in. Propaganda all over the sound systems. All because of a fake pandemic. 9:27 AM . Nov 14,2020 . Twitter for iPhone |,Jerm @mynameisjerm 2h 0 OAD WARFARE All the fans inside the plane are closed too. So now you,2020-11-14 11:01:57,,,,,,,,,,,,,,,,,,,,,,,,
1042,https://twitter.com/jonathan_witt/status/1327584518111420417?s=21,Swedish mortality rates used to question efficacy of lockdown,The tweet cites Swedish mortality statistics to support the idea that South Africa may have overreacted to COVID-19 by implementing measures such as a lockdown.,The tweet submitted for review does not meet all the criteria for misinformation. It is noted that the narrow interpretation of the statistics seems to disregard the nuances necessary to reach a conclusion that the Swedish approach resulted in unnecessary deaths. A number of credible scientific sources list numerous concerns with the Swedish approach. Until such time as it can be conclusively proven as a success based on a holistic interpretation of the statistics,it cannot be publically touted by a medical professional as being a viable solution suitable for application in South Africa. https://time.com/5899432/sweden-coronovirus-disaster/ https://www.medpagetoday.com/infectiousdisease/covid19/89017 https://www.sciencemag.org/news/2020/10/it-s-been-so-so-surreal-critics-sweden-s-lax-pandemic-policies-face-fierce-backlash,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/lbqco40z__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/lbqco40z__0.jpeg,my estimate for Sweden's full-year mortality. In summary: normal. Show this thread @grahamneary Age Standardised Deaths per 100,000 people (Sweden) 2020 estimate bgrahamneary Age Standardised Deaths per 100,000 people (Sweden) 2020 estimate 560 900 140 900 900 560 840 1600 1500 1400 1300 1.200 1100 |,my estimate for Sweden's full-year mortality. In summary: normal. Show this thread @grahamneary Age Standardised Deaths per 100,000 people (Sweden) 2020 estimate bgrahamneary Age Standardised Deaths per 100,000 people (Sweden) 2020 estimate 560 900 140 900 900 560 840 1600 1500 1400 1300 1.200 1100 |,2020-11-17 3:24:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,https://twitter.com/jonathan_witt/status/1327515081677090816?s=21,Tweet cites article that makes conclusive statements about immunity to COVID-19,The tweet in question exempts the vulnerable but expresses agreement with an article that encourages those who have already had COVID-19 to stop wearing masks.,The tweet in question does not satisfy all the criteria for misinformation. The article cited was authored by Rand Paul,an American physician and politician. The article states,amongst other things,that masks are no longer necessary as people who have COVID-19 are now immune. While studies around immunity are being conducted,it is too soon to conclusively proclaim from a public platform that there's indefinite immunity. http://www.idm.uct.ac.za/news/studying-the-immune-systems-response-to-covid-19 Furthermore,while the efficacy of cloth masks is not infallible,they are generally viewed as one of the most effective large-scale measures (used in conjunction with other measures such as social distancing) to curb the spread of COVID-19: https://www.nature.com/articles/d41586-020-02801-8,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KHFFZ4JT__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KHFFZ4JT__0.jpeg,Jonathan Witt @Jonathan_Witt-1 2d This,but for everyone except the vulnerable. THE HILL The Hill @thehill - 3 3d Rand Paul: COVID-19 survivors should throw away their masks,go to restaurants,live again hill.cm/ltOPq9N O5 |,Jonathan Witt @Jonathan_Witt-1 2d This,but for everyone except the vulnerable. THE HILL The Hill @thehill - 3 3d Rand Paul: COVID-19 survivors should throw away their masks,go to restaurants,live again hill.cm/ltOPq9N O5 |,2020-11-17 3:28:05,,,,,,,,,,,,,,,,,,,,,,,,,
